title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
The Brutalist,The Brutalist,12 février 2025,3h 34min,Drame,"Grande-Bretagne,U.S.A.,Hongrie","4,0",3006,387,Brady Corbet,"Adrien Brody,Felicity Jones,Guy Pearce,Joe Alwyn,Raffey Cassidy,Stacy Martin,Emma Laird,Isaach de Bankolé,Alessandro Nivola,Ariane Labed,Jonathan Hyde,Peter Polycarpou,Levente Orban,Benett Vilmányi,Jaymes Butler,Matt Devere,Peter Linka",Daniel Blumberg,"Fuyant l’Europe d’après-guerre, l’architecte visionnaire László Tóth arrive en Amérique pour y reconstruire sa vie, sa carrière et le couple qu’il formait avec sa femme Erzsébet, q",https://fr.web.img5.acsta.net/c_310_420/img/22/ab/22ab82f07f1f92122491ae6c19210277.jpg,https://www.allocine.fr/film/fichefilm-269838/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-269838/similaire/
Bridget Jones : folle de lui,Bridget Jones: Mad About the Boy,12 février 2025,2h 04min,"Comédie,Romance",Grande-Bretagne,"3,3",1516,243,Michael Morris,"Renée Zellweger,Chiwetel Ejiofor,Leo Woodall,Hugh Grant,Colin Firth,Emma Thompson,Isla Fisher,Nico Parker,Josette Simon,Leila Farzad,Sarah Solemani,Sally Phillips,Shirley Henderson,James Callis,Gemma Jones,Jim Broadbent,Celia Imrie,Neil Pearson,Joanna Scanlan,Casper Knopf",Dustin O'Halloran,"Bridget Jones a cinquante-deux ans et deux enfants. Après le décès de Mark Darcy, avec qui elle a vécu dix ans de bonheur, elle est à nouveau en quête de l'homme idéal. Mais ce n'e",https://fr.web.img2.acsta.net/c_310_420/img/a9/28/a9285e78d0a6d8ea9451c6e7efffcbd3.jpg,https://www.allocine.fr/film/fichefilm-1000000866/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1000000866/similaire/
Captain America: Brave New World,Captain America: Brave New World,12 février 2025,1h 58min,"Action,Aventure,Fantastique",U.S.A.,"2,7",2542,335,Julius Onah,"Anthony Mackie,Harrison Ford,Danny Ramirez,Tim Blake Nelson,Mark Ruffalo,Giancarlo Esposito,Shira Haas,Carl Lumbly,Liv Tyler,Xosha Roquemore,Takehiro Hira,Rosa Salazar,Jóhannes Haukur Jóhannesson,William Mark McCullough,Diesel Madkins,Rick Espaillat,Harsh Nayyar,David Atkinson,John Dixon,Bill Stinchcomb,Tomoko Karina",Laura Karpman,"Peu après avoir fait la connaissance du nouveau président des Etats-Unis Thaddeus Ross, Sam Wilson se retrouve plongé au coeur d'un gigantesque incident international. Dans une lut",https://fr.web.img6.acsta.net/c_310_420/img/92/55/9255d9aeb17004f6a622cc47e573777e.jpg,https://www.allocine.fr/film/fichefilm-275210/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-275210/similaire/
Le Dernier souffle,Le Dernier souffle,12 février 2025,1h 39min,Drame,France,"3,3",369,80,Costa-Gavras,"Denis Podalydès,Kad Merad,Marilyne Canto,Ángela Molina,Charlotte Rampling,Hiam Abbass,Karin Viard,Agathe Bonitzer,Elisabeth Quin,Xavier Legrand,Alexandra Jacqmei,Nicolas Benoist,Jade Phan-Gia,Emmy Fouassier",Armand Amar,"Dans un dialogue amical et passionné, le docteur Augustin Masset et l’écrivain Fabrice Toussaint se confrontent pour l’un à la fin de vie de ses patients et pour l’autre à sa propr",https://fr.web.img6.acsta.net/c_310_420/img/76/8e/768e7594c9922642594f3a897e72f788.jpg,https://www.allocine.fr/film/fichefilm-1000004749/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1000004749/similaire/
Le Mohican,Le Mohican,12 février 2025,1h 27min,"Drame,Thriller",France,"4,0",678,111,Frédéric Farrucci,"Alexis Manenti,Mara Taquin,Théo Frimigacci,Paul Garatte,Marie-Pierre Nouveau,Michel Ferracci,Jean Michelangeli,Luiza Benaïssa,Didier Ferrari,Daniel Di Grazia",Rone,"En plein cœur de l’été, Joseph, l’un des derniers bergers du littoral corse, voit son terrain convoité par le milieu pour un projet immobilier. Il refuse de céder. Cela signerait l",https://fr.web.img2.acsta.net/c_310_420/img/72/ab/72abbc296e18a1e605ff6a891832fa9a.jpg,https://www.allocine.fr/film/fichefilm-319448/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-319448/similaire/
Hola Frida,Hola Frida,12 février 2025,1h 22min,Animation,"France,Canada","3,8",60,15,,,,"C’est l’histoire d’une petite fille différente. Son monde, c’est Coyoacan au Mexique. Pétillante, vibrante, tout l’intéresse. Et lorsque les épreuves se présentent, elle leur fait ",https://fr.web.img3.acsta.net/c_310_420/img/b8/8a/b88af4a1cfcf0df8e8a53cb6ce25055b.jpg,https://www.allocine.fr/film/fichefilm-327346/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-327346/similaire/
Prima la vita,Il tempo che si vuole,12 février 2025,1h 50min,Drame,"Italie,France","3,8",257,34,Francesca Comencini,"Fabrizio Gifuni,Romana Maggiora Vergano,Anna Mangiocavallo,Monterosi Daniele,Luca Massaro,Giuseppe Lo Piccolo,Luca Donini",Fabio Massimo Capogrosso,"Un père et sa fille habitent les mondes de l’enfance. Il lui parle avec respect et sérieux, comme à une grande personne, il l’entraine dans des univers magiques débordants de vie e",https://fr.web.img6.acsta.net/c_310_420/img/a8/c8/a8c89e4ef25dafa5e73b341033e79fe6.jpg,https://www.allocine.fr/film/fichefilm-294363/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-294363/similaire/
Daffy et Porky sauvent le monde,The Day the Earth Blew Up: A Looney Tunes Movie,12 février 2025,1h 31min,"Aventure,Animation,Comédie,Famille,Science Fiction",U.S.A.,"3,7",156,33,,,,"L’un des plus grands duos comiques de l’Histoire, Daffy Duck et Porky Pig, fait son grand retour au cinéma dans une nouvelle comédie déjantée. Enchaînant les gags et les catastroph",https://fr.web.img5.acsta.net/c_310_420/img/cc/e6/cce60e5926b977c7266cd461a63f3c79.jpg,https://www.allocine.fr/film/fichefilm-323025/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-323025/similaire/
"La Vie, en gros",Zivot k sezrání,12 février 2025,1h 20min,Animation,"République tchèque,Slovaquie,France","3,3",31,13,,,,C’est la rentrée. Ben trouve que ses camarades ont changé. Il aimerait que Claire s’intéresse à lui mais son poids le complexe. Cette année scolaire les fera tous grandir et compre,https://fr.web.img6.acsta.net/c_310_420/img/a7/02/a702df5e0997a7285f8e518c8a62dcc4.jpg,https://www.allocine.fr/film/fichefilm-1000002094/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-1000002094/similaire/
